Bus,Month,Route,end,start,type
7,February,1,2/17/2018 21:48,2/17/2018 21:18,charging
7,February,1,2/17/2018 23:18,2/17/2018 22:10,running
7,February,1,2/18/2018 0:38,2/17/2018 23:30,running
8,February,1,2/17/2018 8:18,2/17/2018 7:10,running
8,February,1,2/17/2018 9:48,2/17/2018 8:40,running
8,February,1,2/17/2018 11:18,2/17/2018 10:10,running
8,February,1,2/17/2018 12:48,2/17/2018 11:40,running
8,February,1,2/17/2018 14:18,2/17/2018 13:10,running
8,February,1,2/17/2018 15:48,2/17/2018 14:40,running
8,February,1,2/17/2018 17:18,2/17/2018 16:10,running
8,February,1,2/17/2018 18:48,2/17/2018 17:40,running
8,February,1,2/17/2018 20:08,2/17/2018 19:00,running
8,February,1,2/17/2018 21:28,2/17/2018 20:20,running
8,February,1,2/17/2018 22:48,2/17/2018 21:40,running
8,February,1,2/17/2018 23:18,2/17/2018 22:48,charging
8,February,1,2/18/2018 0:48,2/17/2018 23:40,running
9,February,1,2/17/2018 8:28,2/17/2018 7:20,running
9,February,1,2/17/2018 9:58,2/17/2018 8:50,running
9,February,1,2/17/2018 11:28,2/17/2018 10:20,running
9,February,1,2/17/2018 12:58,2/17/2018 11:50,running
9,February,1,2/17/2018 14:28,2/17/2018 13:20,running
9,February,1,2/17/2018 15:58,2/17/2018 14:50,running
9,February,1,2/17/2018 17:28,2/17/2018 16:20,running
9,February,1,2/17/2018 18:58,2/17/2018 17:50,running
9,February,1,2/17/2018 20:28,2/17/2018 19:20,running
9,February,1,2/17/2018 21:58,2/17/2018 20:50,running
9,February,1,2/17/2018 23:28,2/17/2018 22:20,running
9,February,1,2/17/2018 23:58,2/17/2018 23:28,charging
1,October,1,10/17/2018 7:08,10/17/2018 6:00,running
1,October,1,10/17/2018 8:38,10/17/2018 7:30,running
1,October,1,10/17/2018 10:08,10/17/2018 9:00,running
1,October,1,10/17/2018 11:38,10/17/2018 10:30,running
1,October,1,10/17/2018 12:08,10/17/2018 11:38,charging
1,October,1,10/17/2018 13:38,10/17/2018 12:30,running
1,October,1,10/17/2018 14:58,10/17/2018 13:50,running
1,October,1,10/17/2018 16:18,10/17/2018 15:10,running
1,October,1,10/17/2018 17:38,10/17/2018 16:30,running
1,October,1,10/17/2018 18:08,10/17/2018 17:38,charging
1,October,1,10/17/2018 19:38,10/17/2018 18:30,running
1,October,1,10/17/2018 21:08,10/17/2018 20:00,running
1,October,1,10/17/2018 22:28,10/17/2018 21:20,running
1,October,1,10/17/2018 23:58,10/17/2018 22:50,running
2,October,1,10/17/2018 7:18,10/17/2018 6:10,running
2,October,1,10/17/2018 8:48,10/17/2018 7:40,running
2,October,1,10/17/2018 10:18,10/17/2018 9:10,running
2,October,1,10/17/2018 11:48,10/17/2018 10:40,running
2,October,1,10/17/2018 13:08,10/17/2018 12:00,running
2,October,1,10/17/2018 13:38,10/17/2018 13:08,charging
2,October,1,10/17/2018 15:08,10/17/2018 14:00,running
2,October,1,10/17/2018 16:28,10/17/2018 15:20,running
2,October,1,10/17/2018 17:48,10/17/2018 16:40,running
2,October,1,10/17/2018 19:08,10/17/2018 18:00,running
2,October,1,10/17/2018 20:38,10/17/2018 19:30,running
2,October,1,10/17/2018 21:08,10/17/2018 20:38,charging
