Bus,Month,Route,end,start,type
4,August,2,2018-08-17 11:46,2018-08-17 11:00,running
4,August,2,2018-08-17 13:46,2018-08-17 13:00,running
4,August,2,2018-08-17 15:46,2018-08-17 15:00,running
4,August,2,2018-08-17 17:16,2018-08-17 16:30,running
4,August,2,2018-08-17 18:06,2018-08-17 17:20,running
4,August,2,2018-08-17 18:36,2018-08-17 18:06,charging
4,August,2,2018-08-17 19:36,2018-08-17 18:50,running
4,August,2,2018-08-17 20:26,2018-08-17 19:40,running
4,August,2,2018-08-17 22:06,2018-08-17 21:20,running
4,August,2,2018-08-18 00:06,2018-08-17 23:20,running
5,August,2,2018-08-17 07:26,2018-08-17 06:40,running
5,August,2,2018-08-17 08:26,2018-08-17 07:40,running
5,August,2,2018-08-17 09:26,2018-08-17 08:40,running
5,August,2,2018-08-17 10:26,2018-08-17 09:40,running
5,August,2,2018-08-17 12:26,2018-08-17 11:40,running
5,August,2,2018-08-17 14:26,2018-08-17 13:40,running
5,August,2,2018-08-17 16:26,2018-08-17 15:40,running
5,August,2,2018-08-17 17:36,2018-08-17 16:50,running
5,August,2,2018-08-17 18:26,2018-08-17 17:40,running
5,August,2,2018-08-17 19:16,2018-08-17 18:30,running
5,August,2,2018-08-17 19:46,2018-08-17 19:16,charging
5,August,2,2018-08-17 20:46,2018-08-17 20:00,running
5,August,2,2018-08-17 22:26,2018-08-17 21:40,running
5,August,2,2018-08-18 00:26,2018-08-17 23:40,running
6,August,2,2018-08-17 07:36,2018-08-17 06:50,running
6,August,2,2018-08-17 08:36,2018-08-17 07:50,running
6,August,2,2018-08-17 09:36,2018-08-17 08:50,running
6,August,2,2018-08-17 10:36,2018-08-17 09:50,running
6,August,2,2018-08-17 12:06,2018-08-17 11:20,running
6,August,2,2018-08-17 14:06,2018-08-17 13:20,running
6,August,2,2018-08-17 16:06,2018-08-17 15:20,running
6,August,2,2018-08-17 17:26,2018-08-17 16:40,running
6,August,2,2018-08-17 18:16,2018-08-17 17:30,running
6,August,2,2018-08-17 19:06,2018-08-17 18:20,running
6,August,2,2018-08-17 20:06,2018-08-17 19:20,running
6,August,2,2018-08-17 20:36,2018-08-17 20:06,charging
6,August,2,2018-08-17 21:46,2018-08-17 21:00,running
6,August,2,2018-08-17 23:46,2018-08-17 23:00,running
1,August,3,2018-08-17 07:00,2018-08-17 06:00,running
1,August,3,2018-08-17 08:10,2018-08-17 07:10,running
1,August,3,2018-08-17 09:20,2018-08-17 08:20,running
1,August,3,2018-08-17 10:30,2018-08-17 09:30,running
1,August,3,2018-08-17 12:40,2018-08-17 11:40,running
1,August,3,2018-08-17 13:10,2018-08-17 12:40,charging
1,August,3,2018-08-17 15:20,2018-08-17 14:20,running
1,August,3,2018-08-17 17:20,2018-08-17 16:20,running
1,August,3,2018-08-17 18:30,2018-08-17 17:30,running
1,August,3,2018-08-17 19:30,2018-08-17 18:30,running
1,August,3,2018-08-17 20:40,2018-08-17 19:40,running
1,August,3,2018-08-17 21:10,2018-08-17 20:40,charging
1,August,3,2018-08-17 23:00,2018-08-17 22:00,running
2,August,3,2018-08-17 07:10,2018-08-17 06:10,running
2,August,3,2018-08-17 08:20,2018-08-17 07:20,running
2,August,3,2018-08-17 09:30,2018-08-17 08:30,running
2,August,3,2018-08-17 10:40,2018-08-17 09:40,running
2,August,3,2018-08-17 12:20,2018-08-17 11:20,running
2,August,3,2018-08-17 14:40,2018-08-17 13:40,running
2,August,3,2018-08-17 15:10,2018-08-17 14:40,charging
2,August,3,2018-08-17 17:10,2018-08-17 16:10,running
2,August,3,2018-08-17 18:20,2018-08-17 17:20,running
2,August,3,2018-08-17 19:20,2018-08-17 18:20,running
2,August,3,2018-08-17 20:30,2018-08-17 19:30,running
2,August,3,2018-08-17 22:20,2018-08-17 21:20,running
2,August,3,2018-08-18 00:40,2018-08-17 23:40,running
3,August,3,2018-08-17 07:20,2018-08-17 06:20,running
3,August,3,2018-08-17 08:30,2018-08-17 07:30,running
3,August,3,2018-08-17 09:40,2018-08-17 08:40,running
3,August,3,2018-08-17 10:50,2018-08-17 09:50,running
3,August,3,2018-08-17 13:20,2018-08-17 12:20,running
3,August,3,2018-08-17 15:40,2018-08-17 14:40,running
3,August,3,2018-08-17 17:30,2018-08-17 16:30,running
3,August,3,2018-08-17 18:00,2018-08-17 17:30,charging
3,August,3,2018-08-17 19:10,2018-08-17 18:10,running
3,August,3,2018-08-17 20:20,2018-08-17 19:20,running
3,August,3,2018-08-17 22:00,2018-08-17 21:00,running
3,August,3,2018-08-18 00:20,2018-08-17 23:20,running
4,August,3,2018-08-17 07:30,2018-08-17 06:30,running
4,August,3,2018-08-17 08:40,2018-08-17 07:40,running
4,August,3,2018-08-17 09:50,2018-08-17 08:50,running
4,August,3,2018-08-17 11:00,2018-08-17 10:00,running
4,August,3,2018-08-17 13:00,2018-08-17 12:00,running
4,August,3,2018-08-17 15:00,2018-08-17 14:00,running
4,August,3,2018-08-17 17:00,2018-08-17 16:00,running
4,August,3,2018-08-17 18:10,2018-08-17 17:10,running
4,August,3,2018-08-17 18:40,2018-08-17 18:10,charging
4,August,3,2018-08-17 20:00,2018-08-17 19:00,running
4,August,3,2018-08-17 21:00,2018-08-17 20:00,running
4,August,3,2018-08-17 22:40,2018-08-17 21:40,running
5,August,3,2018-08-17 07:40,2018-08-17 06:40,running
5,August,3,2018-08-17 08:50,2018-08-17 07:50,running
5,August,3,2018-08-17 10:00,2018-08-17 09:00,running
5,August,3,2018-08-17 11:20,2018-08-17 10:20,running
5,August,3,2018-08-17 13:40,2018-08-17 12:40,running
5,August,3,2018-08-17 16:00,2018-08-17 15:00,running
5,August,3,2018-08-17 17:40,2018-08-17 16:40,running
5,August,3,2018-08-17 18:40,2018-08-17 17:40,running
5,August,3,2018-08-17 19:40,2018-08-17 18:40,running
5,August,3,2018-08-17 20:10,2018-08-17 19:40,charging
5,August,3,2018-08-17 21:40,2018-08-17 20:40,running
5,August,3,2018-08-18 00:00,2018-08-17 23:00,running
6,August,3,2018-08-17 07:50,2018-08-17 06:50,running
6,August,3,2018-08-17 09:00,2018-08-17 08:00,running
6,August,3,2018-08-17 10:10,2018-08-17 09:10,running
6,August,3,2018-08-17 11:40,2018-08-17 10:40,running
6,August,3,2018-08-17 14:00,2018-08-17 13:00,running
6,August,3,2018-08-17 16:20,2018-08-17 15:20,running
6,August,3,2018-08-17 17:50,2018-08-17 16:50,running
6,August,3,2018-08-17 18:50,2018-08-17 17:50,running
