Bus,Month,Route,end,start,type
4,August,2,8/17/2018 11:46,8/17/2018 11:00,running
4,August,2,8/17/2018 13:46,8/17/2018 13:00,running
4,August,2,8/17/2018 15:46,8/17/2018 15:00,running
4,August,2,8/17/2018 17:16,8/17/2018 16:30,running
4,August,2,8/17/2018 18:06,8/17/2018 17:20,running
4,August,2,8/17/2018 18:36,8/17/2018 18:06,charging
4,August,2,8/17/2018 19:36,8/17/2018 18:50,running
4,August,2,8/17/2018 20:26,8/17/2018 19:40,running
4,August,2,8/17/2018 22:06,8/17/2018 21:20,running
4,August,2,8/18/2018 0:06,8/17/2018 23:20,running
5,August,2,8/17/2018 7:26,8/17/2018 6:40,running
5,August,2,8/17/2018 8:26,8/17/2018 7:40,running
5,August,2,8/17/2018 9:26,8/17/2018 8:40,running
5,August,2,8/17/2018 10:26,8/17/2018 9:40,running
5,August,2,8/17/2018 12:26,8/17/2018 11:40,running
5,August,2,8/17/2018 14:26,8/17/2018 13:40,running
5,August,2,8/17/2018 16:26,8/17/2018 15:40,running
5,August,2,8/17/2018 17:36,8/17/2018 16:50,running
5,August,2,8/17/2018 18:26,8/17/2018 17:40,running
5,August,2,8/17/2018 19:16,8/17/2018 18:30,running
5,August,2,8/17/2018 19:46,8/17/2018 19:16,charging
5,August,2,8/17/2018 20:46,8/17/2018 20:00,running
5,August,2,8/17/2018 22:26,8/17/2018 21:40,running
5,August,2,8/18/2018 0:26,8/17/2018 23:40,running
6,August,2,8/17/2018 7:36,8/17/2018 6:50,running
6,August,2,8/17/2018 8:36,8/17/2018 7:50,running
6,August,2,8/17/2018 9:36,8/17/2018 8:50,running
6,August,2,8/17/2018 10:36,8/17/2018 9:50,running
6,August,2,8/17/2018 12:06,8/17/2018 11:20,running
6,August,2,8/17/2018 14:06,8/17/2018 13:20,running
6,August,2,8/17/2018 16:06,8/17/2018 15:20,running
6,August,2,8/17/2018 17:26,8/17/2018 16:40,running
6,August,2,8/17/2018 18:16,8/17/2018 17:30,running
6,August,2,8/17/2018 19:06,8/17/2018 18:20,running
6,August,2,8/17/2018 20:06,8/17/2018 19:20,running
6,August,2,8/17/2018 20:36,8/17/2018 20:06,charging
6,August,2,8/17/2018 21:46,8/17/2018 21:00,running
6,August,2,8/17/2018 23:46,8/17/2018 23:00,running
1,August,3,8/17/2018 7:00,8/17/2018 6:00,running
1,August,3,8/17/2018 8:10,8/17/2018 7:10,running
1,August,3,8/17/2018 9:20,8/17/2018 8:20,running
1,August,3,8/17/2018 10:30,8/17/2018 9:30,running
1,August,3,8/17/2018 12:40,8/17/2018 11:40,running
1,August,3,8/17/2018 13:10,8/17/2018 12:40,charging
